zone_name,avg_payed_in,avg_dist_in,rides_number_in,price_for_dist_in
Sunset Park East,45.148707032481724,11.924973194575845,3171,3.7860636075071366
Baisley Park,46.59682501503299,12.309603126879136,1663,3.785404333084029
Corona,35.85277552674214,9.4825,2468,3.780941263036345
East Flatbush/Farragut,43.865566433566265,11.60188811188811,2145,3.780898937356457
Jamaica,38.688365172667,10.239316678912562,2722,3.7784127970515886
Hunts Point,37.26024604569428,9.891335676625658,1138,3.7669579987811397
Highbridge,36.89041857798162,9.797459862385322,1744,3.765304384620378
Willets Point,41.828852459016396,11.12262295081967,61,3.760700389105059
Charleston/Tottenville,115.44857142857143,30.81295918367347,98,3.746753784353919
Hillcrest/Pomonok,39.63289808917188,10.581464968152869,1884,3.7455019894178525
Bay Ridge,50.064226948153205,13.369904532753813,12884,3.744546329818963
Morrisania/Melrose,37.29249059443196,9.960677200902936,1329,3.743971402973625
Dyker Heights,48.069121649484444,12.840639175257731,2425,3.7435147108648215
Van Nest/Morris Park,46.527221843003396,12.434095563139932,1465,3.7419064061989613
Midwood,50.322629921259704,13.46780157480315,3175,3.7365140584940075
Flushing,41.89607621550574,11.221214191852825,3805,3.733649095293487
East New York/Pennsylvania Avenue,40.11145434047358,10.744847801578354,887,3.7330872508572384
North Corona,34.15950334288434,9.155281757402102,2094,3.731125294452699
Belmont,47.44166936790922,12.715842787682337,1234,3.73091034232236
Longwood,38.34083044982707,10.296735870818914,867,3.723590750587814
Marble Hill,42.89549098196395,11.520140280561122,499,3.7235215837037186
Eltingville/Annadale/Prince's Bay,102.67530434782608,27.589304347826083,115,3.7215619159283535
Bronx Park,45.24954220314738,12.161773962804007,699,3.7206366720463766
East New York,40.39819100731942,10.898494248867198,2869,3.7067681172120133
Crotona Park,41.188947368421054,11.129473684210526,57,3.700889057032063
Murray Hill-Queens,45.57060747663543,12.361565420560748,1712,3.6864754524405736
East Flushing,42.027606973058674,11.420649762282089,631,3.6799663633727144
Ocean Parkway South,49.50475070555036,13.489821260583255,1063,3.66978551822635
Claremont/Bathgate,38.75283878504679,10.598820093457947,856,3.6563351810232847
Schuylerville/Edgewater Park,47.37748103186636,12.979883662114316,1977,3.650069774519763
Crotona Park East,40.208678071539694,11.02545878693624,643,3.6468938706824465
Soundview/Castle Hill,41.94257388500797,11.51378291241268,1861,3.642814373353425
Springfield Gardens South,50.9575308641976,14.000562414266115,729,3.6396774184066736
Kingsbridge Heights,41.48719727891152,11.416768707482989,1470,3.6338826109106703
Broad Channel,54.79909090909091,15.085454545454546,44,3.6325780402555137
Mount Hope,39.007814003206754,10.75105825761625,1871,3.628276683885783
Auburndale,43.514975417895826,12.001297935103244,1017,3.625855774367248
Country Club,47.722560240963844,13.163343373493975,332,3.62541330776641
Borough Park,49.97169112508717,13.826058700209641,2862,3.6143120905691988
Jamaica Estates,41.271068217874046,11.441158117398201,1891,3.6072456821582124
Rockaway Park,65.60776371308019,18.19450070323488,711,3.605911741310686
Parkchester,43.980499702557935,12.200178465199285,1681,3.6049062583806664
East Tremont,41.23994208494217,11.445752895752895,1036,3.6030781426571616
South Jamaica,43.70239543726243,12.134790874524713,789,3.6014131507621996
College Point,43.304610136452304,12.027621832358673,1026,3.6004299719456734
University Heights/Morris Heights,39.33652198743566,10.937498572244433,1751,3.5964824797562094
Hammels/Arverne,61.33517060367457,17.099068241469812,762,3.5870475360125402
Fresh Meadows,39.984892729439764,11.149368295589987,1678,3.5862922157890647
Pelham Parkway,48.49736777367767,13.532706027060275,1626,3.5837154576993946
Flatlands,47.695335085413745,13.310407358738502,2283,3.5833114494501905
Bensonhurst West,51.81107073830677,14.463285659064553,2587,3.5822476275185298
Madison,52.185224559408624,14.593496304718593,1759,3.575923375026675
Bensonhurst East,52.61871910112346,14.720219101123595,1780,3.5745880370155
Pelham Bay,47.59709459459466,13.327635135135134,740,3.5713083463034083
Springfield Gardens North,50.305895765472364,14.100456026058632,614,3.567678639081143
Bath Beach,52.770609981515705,14.80322550831793,1082,3.5648048428272547
Homecrest,52.263004201680545,14.669915966386556,1904,3.5625973810232936
Douglaston,50.6459320809248,14.235390173410408,1384,3.55774808164541
Whitestone,46.81107233502532,13.161833756345175,1576,3.556576781138739
Westchester Village/Unionport,41.72112624886475,11.731162579473207,1101,3.556435772347659
Fordham South,39.84947001394706,11.21857740585774,717,3.5520965423958124
Hollis,41.74566265060245,11.795593803786575,581,3.539089540129927
City Island,60.489540636042406,17.10950530035335,283,3.5354348108938694
Canarsie,43.68374756525106,12.363646279703937,2567,3.533241454583018
Norwood,48.63662683324271,13.770260727865288,1841,3.5320047887562778
Marine Park/Mill Basin,52.92693401592705,15.001996587030723,1758,3.5279926714343186
Bayside,47.63061838204139,13.51832274459975,2361,3.5234118375423975
