zone_name,avg_payed_out,avg_dist_out,rides_number_out,price_for_dist_out
Forest Hills,39.15768447837155,9.280419847328243,786,4.219387174562445
Carroll Gardens,35.55892226148404,8.444037102473498,2264,4.211128140480082
Cobble Hill,34.917470091484795,8.299919071076705,2842,4.206965127306372
Queensbridge/Ravenswood,29.903759036144624,7.112289156626507,830,4.204519582599274
DUMBO/Vinegar Hill,33.171541318477196,7.9000835654596075,2154,4.198884865409314
Brooklyn Heights,34.10120504973202,8.137840474368785,5228,4.190448947375944
Columbia Street,37.36614525139664,8.933854748603352,179,4.182533329998248
Baisley Park,61.290736543909325,14.658249291784701,1765,4.181313560976212
Washington Heights South,34.263956438487156,8.198772139779798,4178,4.179157055998804
Great Kills,88.01333333333334,21.17,3,4.157455518815934
Red Hook,42.95978723404256,10.337606382978722,376,4.155680303786528
Gowanus,37.32121900826448,8.986012396694216,484,4.153257013310403
South Jamaica,58.98727272727279,14.266251993620415,627,4.134742100002911
Downtown Brooklyn/MetroTech,35.244725034742686,8.566378796902919,5037,4.114308492578571
Prospect-Lefferts Gardens,38.60115311909265,9.39134215500945,529,4.110291423947571
Bushwick North,34.73181395348837,8.468837209302325,430,4.10113137082601
Fort Greene,34.207679237463644,8.34183174471612,2413,4.100739535909659
Mott Haven/Port Morris,34.83567610062896,8.50877358490566,636,4.094088972167097
Boerum Hill,34.224554692169626,8.37202630005977,3346,4.087965501485021
Crown Heights South,36.641584905660366,8.964301886792454,265,4.087500105239228
Bensonhurst West,49.49910179640717,12.13197604790419,167,4.0800527136680405
Washington Heights North,36.731151452282205,9.029004149377595,964,4.0681287597829074
West Concourse,37.07721402214023,9.13581180811808,542,4.058447656418823
Mariners Harbor,67.845,16.726,20,4.0562597154131295
Inwood,36.8491743119266,9.11084862385321,436,4.044538092253162
Sunset Park West,41.15039080459771,10.177632183908045,435,4.043218507116125
Ridgewood,37.92054347826086,9.381630434782608,184,4.041999281667458
Stuyvesant Heights,37.588218029350124,9.310859538784065,477,4.037029865264071
Flushing,41.22014336917561,10.210967741935484,279,4.036849827650356
Ozone Park,46.75323529411764,11.59941176470588,102,4.0306557127643385
Crown Heights North,37.349066339066376,9.274201474201478,814,4.027200233137289
Oakwood,83.63666666666667,20.779999999999998,3,4.024863650946424
Westchester Village/Unionport,40.42772277227723,10.048019801980198,101,4.023451741636695
Windsor Terrace,41.55783251231526,10.331379310344827,203,4.02248637514483
Borough Park,43.54605504587155,10.851284403669725,218,4.012986244388268
Ocean Parkway South,43.27205128205128,10.809615384615386,78,4.003107394888216
Hunts Point,39.748916666666666,9.932333333333332,120,4.001971675000839
Springfield Gardens South,59.93551656920083,14.980721247563352,513,4.000843188971925
Hammels/Arverne,78.08148148148148,19.552592592592596,54,3.993408092135171
Van Cortlandt Park,39.00678571428572,9.777142857142858,28,3.989589421391
Fordham South,42.35105263157895,10.617631578947368,38,3.988747614444693
Country Club,53.714999999999996,13.478749999999998,8,3.9851618288046002
Bedford,33.922344689378775,8.529839679358716,499,3.9769029623695227
Queensboro Hill,39.391272727272735,9.90618181818182,55,3.97643344835181
Bay Ridge,43.73304068522486,11.003040685224835,467,3.9746322799615474
Soundview/Bruckner,41.9120588235294,10.560980392156862,102,3.968576521044911
Glendale,40.14,10.143690476190477,84,3.9571396716232234
Heartland Village/Todt Hill,76.69222222222223,19.42388888888889,18,3.9483453937019135
Willets Point,46.382666666666665,11.748,15,3.948133015548746
Longwood,38.070701754385965,9.655877192982455,114,3.9427491664925465
Woodhaven,44.07647058823528,11.183088235294118,136,3.941350516141757
Van Nest/Morris Park,40.97467153284671,10.415328467153284,137,3.934073866423716
Grymes Hill/Clifton,80.58333333333333,20.58,3,3.9156138645934564
East Flushing,42.38351351351351,10.831621621621622,37,3.9129425855228686
Ocean Hill,39.811408450704214,10.178732394366198,213,3.9112344158629546
Belmont,46.86610169491526,12.014745762711867,59,3.9007152228194166
East Flatbush/Remsen Village,42.587910447761175,10.92115671641791,268,3.8995787308626606
Riverdale/North Riverdale/Fieldston,44.81045112781954,11.496917293233084,133,3.897605765520668
West Brighton,72.16,18.522,5,3.8959075693769574
East New York,44.13500777604981,11.357122861586314,643,3.8861081555549206
East Tremont,41.059999999999995,10.57401515151515,132,3.883103949791155
Bensonhurst East,45.553157894736835,11.742706766917294,133,3.8792723687074995
Gravesend,50.37761904761905,12.99214285714286,84,3.877545036377297
Brownsville,42.32785074626866,10.927940298507464,335,3.8733603579486786
Crotona Park East,37.05319444444445,9.571666666666667,72,3.8711329734749556
University Heights/Morris Heights,45.18669999999998,11.68715,200,3.866357495197715
Dyker Heights,38.915280898876404,10.082022471910111,89,3.859868494372005
Kensington,40.046383928571416,10.375491071428572,224,3.859709738351454
